Name,Location,Address,Phone,Website,Notes,Type
Ridgeway's Auto Repair,Leesburg,,,https://ridgewaysauto.com/,Family owned since 1949; 24/7 car drop-off,Independent
Leesburg Auto Service,Leesburg,306 Industrial Ct SE,,https://www.myleesburgautoservice.com/,Family owned since 2001; owner 40+ years experience; BMW/Mercedes/Volvo specialist,Independent
Auto Solutions,Leesburg,,,https://www.autosolutionsva.com/,Family owned and operated; full service; highly rated,Independent
In Motion Motors,Leesburg,,,https://inmotionmotors.us/,Locally owned and operated; full-service; Mercedes/BMW specialist,Independent
Catoctin Automotive,Leesburg/Leesburg area,,,,Highly rated independent shop; family owned,Independent
D&D Automotive Repair,Leesburg,,,https://www.dndautomotiverepair.com/,Honest and professional car repair and maintenance services,Independent
Ashburn European Repair,Sterling,21601 Ashgrove Ct,,https://ashburneuro.com/,Family owned since 1975; 40+ years; European vehicle specialists; mother/father to son/daughter passed down,Independent
Latino's Auto Service & Repair,Sterling,,,https://latinosautoserviceandrepair.com/,Family owned; 30+ years serving Sterling/Ashburn/Herndon/Leesburg; certified mechanics,Independent
Chandler & Sons Automotive,Sterling/Ashburn,,,https://www.chandlerandsons.com/,Family owned independent shop; dealer alternative with personalized service,Independent
Fallon Automotive,Sterling,,,https://www.fallonautomotive.com/,Family owned and operated; two locations in Sterling; full-service,Independent
Purcellville Auto Service,Purcellville,,,https://www.purcellvilleautoservice.com/,Local and family owned; import/domestic/European vehicles,Independent
Bridges Auto Center,Purcellville,,,https://www.bridgesautocenter.com/,Family owned; serves Purcellville/Round Hill/Woodburn,Independent
Purcellville Tire & Auto,Purcellville,,,https://www.purcellvilletireandauto.com/,Family owned and operated since 1999; full service; serves all of western Loudoun,Independent
Saville's Service Center,Purcellville,,,https://savilleservicecenter.com,Trusted in Purcellville and all of Loudoun County; serves Leesburg to Middleburg,Independent
Accurate Automotive,Purcellville,,,https://www.accurateautoshop.com/,Family owned since 1999; European vehicle specialist,Independent
West Loudoun Repair,Round Hill,,,https://www.facebook.com/WestLoudounRepair/,Small family owned auto repair shop; honest and friendly service,Independent
Western Loudoun Service Center,Purcellville,,,https://www.facebook.com/westernloudounsc/,Family owned auto repair service center; VA state inspections/oil changes/brakes/tires,Independent
Auto Advantage of VA,,,,http://www.autoadvantageofva.com/,Family owned and operated since 1998; detailing/customizing/maintenance,Independent
Loudoun County Auto Repair (Manuel's),Leesburg,,,https://locountyauto.godaddysites.com/,Family business opened by Manuel with decades of experience; DMV area,Independent
